Timestamp,Student ID:,"Overall, how anxious or stressed did you feel during this programming session?","Did you experience any moments where you felt completely ""stuck"" or blocked?",How difficult was the programming task you were working on?,Were there any external factors that caused you stress or distraction during the session? (Check all that apply),"If you felt stressed at any point, what specifically triggered it? (Optional)"
4/7/2026 12:40:33,0112530043,4,"Yes, for a significant part of the session",4,"IDE/Compiler issues, Lack of understanding of the topic, Time pressure","Debugging errors, understanding the logic of the problem, and dealing with compiler issues during implementation."
4/7/2026 12:47:33,0112530132,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Lack of understanding of the topic, Time pressure","I felt incredibly stuck trying to get my code to run. I kept switching back and forth between my code (main.c/Untitled4.c) and the execution window (b12.exe), but my compile success rate was dropping. I spent a huge portion of the test just deleting code I had written and staring at the screen trying to figure out the logic, which made my anxiety go through the roof."
4/7/2026 12:49:56,0112530192,5,"Yes, for a significant part of the session",5,"Time pressure, Extreme self-doubt","I was in a state of sheer panic for basically the entire session. The problem felt completely overwhelming and impossible to solve. Even though I tried to type, I had zero confidence in my logic—my backspace rate was huge because I kept deleting almost everything I wrote right after typing it. I spent about 80% of the time either sitting completely idle or pausing to stare at the screen, totally stuck. Because I couldn't figure it out, I was wildly distracted, frantically switching tabs and clicking on different windows tens of thousands of times just trying to find an answer or escape the stress. It was a miserable and highly critical experience."
4/7/2026 12:50:07,0112530126,4,"Yes, for a short time",3,"Noise/distractions in the lab, Time pressure",Getting a logical error right when I thought I was finished. Watching the clock tick down while I was trying to debug my loops really spiked my stress.
4/7/2026 12:52:02,0112530110,4,"Yes, for a significant part of the session",4,"IDE/Compiler issues, Noise/distractions in the lab",I could not focus and was constantly switching windows/tabs
4/7/2026 12:52:52,0112530164,4,"Yes, for a significant part of the session",4,"IDE/Compiler issues, Time pressure, Extreme inability to focus and frantic multitasking","I was incredibly overwhelmed and paralyzed during this session. The problem was just too difficult, and I felt completely blocked—I spent over 70% of the time just sitting there idle, staring at the screen without knowing what to type. Over the whole session, I didn't even reach 900 keystrokes. When I did manage to try something, my code wouldn't compile (it basically failed half the time), which made me panic, second-guess myself, and hit backspace constantly. Because I was so stuck and stressed, I couldn't keep my focus on the IDE. I kept frantically clicking away, switching tabs and windows over 19,000 times just looking for answers, checking other things, or trying to escape the pressure. It was an extremely stressful experience."
4/7/2026 12:54:13,0112310431,4,"Yes, for a significant part of the session",4,"Time pressure, Severe distraction and inability to focus.","I felt pretty stressed out and stuck for most of the session. The problem was difficult to wrap my head around, and I spent half the time just sitting there idle, staring at the screen. I barely typed anything—only about 700 keystrokes the whole time. When I did try to type, I kept deleting my work because I wasn't confident in my approach. Because I couldn't figure out the logic, I completely lost my focus. I kept frantically clicking away from the IDE, switching windows over 16,000 times just looking for answers, checking other tabs, or trying to escape the mental block. It was a very fragmented and frustrating experience."
4/7/2026 12:54:50,0112510044,4,"Yes, for a significant part of the session",4,"IDE/Compiler issues, Lack of understanding of the topic, Time pressure",syntax error 
4/7/2026 12:56:23,0112530120,4,"Yes, for a significant part of the session",3,"IDE/Compiler issues, Time pressure","Getting a 'Segmentation Fault' right as the halfway point was announced. It took me several tries to find the off-by-one error in my array, and the pressure of knowing I was losing time made it hard to think clearly."
4/7/2026 12:56:23,0112510394,3,"Yes, for a short time",4,"Lack of understanding of the topic, Time pressure","I was doing okay at first, but I got completely stuck on the logic for one of the middle requirements. I had to delete a big chunk of my code and start that section over. Knowing I was losing time while trying to remember how to structure the algorithm properly made me pretty nervous."
4/7/2026 12:56:35,0112530115,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Lack of understanding of the topic, Noise/distractions in the lab",I felt completely lost. I spent nearly 60% of the session just staring at the screen (idle) trying to understand what to do.
4/7/2026 12:57:00,0112530013,3,"Yes, for a short time",3,"Lack of understanding of the topic, Time pressure",Trying to find bugs and fixing syntax errors under time pressure.
4/7/2026 12:57:56,0112510152,4,"Yes, for a significant part of the session",4,"IDE/Compiler issues, Lack of understanding of the topic, Time pressure",constant compilation failures suffer  me a lot 
4/7/2026 12:58:58,0112420378,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Time pressure, Severe inability to focus and frantic multitasking.","I felt highly stressed and anxious for almost the entire session. The problem was just too difficult, and I felt completely blocked—I spent about half the time just sitting there idle, staring at the screen. I barely managed to type under a thousand characters the whole time. When I did try to code, I couldn't get it to compile successfully, which made me second-guess myself and hit backspace constantly to delete my work. Because I was so stuck and couldn't figure out the logic, I completely lost my focus. I kept frantically clicking away from the IDE, switching tabs and windows over 21,000 times just trying to find help or escape the pressure. It was a very overwhelming experience."
4/7/2026 12:59:02,0112530139,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Time pressure, Extreme inability to focus and frantic multitasking.","This session was a complete nightmare and I felt overwhelmed almost immediately. The task was incredibly difficult, and I felt paralyzed for most of it. I only managed to type about 800 characters the whole time because I spent over half the session just staring blankly at the screen, completely stuck. When I did try to write something, I kept getting compile errors (my success rate was basically a coin flip), which made me delete and backspace almost everything I wrote. Because I had no idea how to fix my code, I couldn't focus at all. I kept frantically clicking away from the IDE, switching tabs and windows tens of thousands of times just trying to find a lifeline or a distraction. I was in a state of critical panic the entire time."
4/7/2026 12:59:38,0112520207,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Lack of understanding of the topic, Time pressure","Everything went wrong. I couldn't get my code (ct1q3.c) to compile successfully, so I kept switching back and forth to the execution window (cmd.exe) trying to figure out what the errors meant. I spent almost the entire test just flipping between windows, completely stuck, deleting my code, and watching the time run out."
4/7/2026 13:00:38,0112530101,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Lack of understanding of the topic, Noise/distractions in the lab",Constantly getting blocked with compiler issues and spending over half the session stuck trying to figure out the logic.
4/7/2026 13:01:13,0112530149,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Noise/distractions in the lab, Time pressure","I felt extremely anxious and overwhelmed during this session. The task was really difficult, and I felt completely stuck for almost half the time, just staring at the screen (my idle time was around 48%). Whenever I actually tried to write code, I kept second-guessing myself and deleting it right away—my backspace rate was huge. I couldn't get my code to a solid, compiling state, which made me panic. Because I was so lost, I completely lost my focus and kept frantically clicking away from the IDE, switching windows over 23,000 times just trying to figure out what to do or looking for answers. It was a highly stressful and frustrating experience"
4/7/2026 13:02:52,0112530196,4,"Yes, for a significant part of the session",4,"IDE/Compiler issues, Time pressure, Frantic context-switching and inability to focus.","I was incredibly overwhelmed because I spent almost 60% of the session just staring at the screen, completely stuck. The problem was too hard, and I only managed to type less than a thousand keystrokes the whole time. What little code I did write I ended up deleting anyway because I kept second-guessing myself (my backspace rate was huge). I couldn't get my code to compile successfully, which just added to the panic. Because I was so lost, I couldn't focus on the IDE and kept frantically clicking away and switching tabs over 12,000 times just trying to figure out what to do or escape the pressure. I was highly stressed out the entire time."
4/7/2026 13:04:51,0112530133,2,"Yes, for a short time",2,Time pressure,"Everything went mostly fine, but I did get a weird cascade of syntax errors right at the beginning because I forgot a simple semicolon. For about thirty seconds, I panicked thinking my whole structure was wrong before I spotted the missing character."
5/6/2026 12:44:34,0112430454,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Time pressure, Inability to concentrate and frantic window switching.","I was extremely anxious and stressed out from the very beginning. The problem felt way too hard, and I was completely stuck for about half the session just staring at the screen (my idle time was almost 50%). Whenever I actually tried to code, I second-guessed every single thing I wrote—I was constantly hitting the backspace key to delete my code almost as soon as I typed it. Because I was so lost and my code wouldn't work (my compile success was basically 50/50), I couldn't concentrate at all. I kept frantically switching windows and tabbing out thousands of times to look for answers or just because I couldn't focus on the IDE."
5/6/2026 12:46:08,0112510322,3,"Yes, for a short time",3,"Tiredness or exhausted, Time pressure","Honestly, I was just really tired going into this test. I kept making silly syntax errors—like forgetting semicolons or misspelling my own variable names—and having to constantly go back to fix them made me worry I was going to run out of time."
5/6/2026 13:36:04,0112510181,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Tiredness or exhausted, Lack of understanding of the topic, Time pressure",I didn't understand how to implement the logic which caused me to stuck
5/6/2026 13:37:59,0112530185,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Time pressure, Extreme inability to focus and frantic multitasking.","I was in a state of sheer panic for most of this session. The problem felt impossible, and I couldn't get my code to work properly my compile success was terrible. I felt completely paralyzed; I spent over 60% of the time just sitting there idle, not knowing what to write. Whenever I did try to code, I second-guessed myself so much that I was constantly hitting backspace and deleting everything I had just typed. I couldn't focus at all, so I kept frantically switching tabs and clicking on different windows (tens of thousands of times) trying to find some sort of reference, help, or distraction. The whole experience was overwhelmingly stressful and felt incredibly fragmented"
5/6/2026 13:38:25,0112510077,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Tiredness or exhausted, Lack of understanding of the topic, Time pressure",problem 3 which caused me to sit idle doing nothing of the test. My code kept failing to compile properly.
5/6/2026 13:40:56,0112430320,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Time pressure, Extreme context-switching/distraction","I felt extremely overwhelmed and anxious because I just couldn't make any progress. I spent almost 80% of the session completely stuck, staring at the screen without typing a thing. The task felt way too difficult, to the point where I only managed to type under a thousand keystrokes the entire time. What little code I did write felt wrong, so I was constantly backspacing and deleting it. Because I didn't know how to solve the problem, I kept frantically clicking away from the IDE to search the web for answers or check other windows (I must have tabbed out thousands of times). The whole session felt incredibly fragmented, and failing to get my code to compile just made me panic more as time ran out."
5/6/2026 13:41:28,0112420164,4,"Yes, for a significant part of the session",4,"IDE/Compiler issues, Noise/distractions in the lab, Time pressure","I got stressed because I couldn't maintain my focus and kept getting stuck on the logic. I spent a massive amount of time just staring at the screen without typing (my idle and pause times were huge), trying to figure out what to do next. Because I wasn't confident in my code, I was constantly backspacing, rewriting, and desperately alt-tabbing between different windows and the browser to look up documentation and solutions. This constant context-switching made the session feel incredibly fragmented and overwhelming, and seeing my code fail to compile properly just added to the pressure."
5/6/2026 13:42:12,0112510269,4,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Lack of understanding of the topic, Time pressure",I felt stress because I don't know how to solve the problems
5/6/2026 13:43:22,0112530136,3,"Yes, for a significant part of the session",4,"Lack of understanding of the topic, Time pressure","I got really stressed when my program kept infinitely looping, and I had to keep force-closing the execution window. I spent almost 15 minutes just trying to trace my variables on paper while everyone else sounded like they were typing away."
5/6/2026 13:43:38,0112520294,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Lack of understanding of the topic, Time pressure","I hit a wall with Question 2 and Question 3. My compile success rate completely dropped, and I spent over an hour just desperately switching back and forth between my C files and the execution window trying to get something, anything, to work. I ended up just staring at the screen for the last chunk of the test because I didn't know how to fix it."
5/6/2026 13:53:09,0112520219,5,"Yes, for a significant part of the session",5,"IDE/Compiler issues, Lack of understanding of the topic, Time pressure","Everything went wrong. I couldn't get my code to compile successfully, so I kept creating new files (Untitled2.c, Untitled3.c) just trying to start over and get something to work. I spent almost the entire test just flipping between my editor and the execution window, completely stuck and watching the time run out."
